metric,diff_point,diff_mean,ci95_low,ci95_high,prob_OS_superior,p_bootstrap_two_sided,significant_95
BACC,0.17640639493643262,0.17632355950237355,0.13072243138538775,0.2228061739510012,1.0,0.0,True
MCC,0.22241943118220286,0.22268189478745035,0.1395265368764972,0.3111433646636814,1.0,0.0,True
Precision,0.13183878356645062,0.13174920138784132,0.10424145627816953,0.15953485209323293,1.0,0.0,True
Recall,-0.05369127516778527,-0.053874832214765106,-0.08389261744966436,-0.02684563758389258,0.0,0.0002,True
Specificity,0.40650406504065045,0.4065219512195122,0.3170731707317074,0.4959349593495935,1.0,0.0,True
F1,0.04569657536569516,0.04551749354798655,0.023675432101374436,0.0673094855296305,1.0,0.0,True
ROC_AUC,0.1280351394117969,0.12809980493261308,0.08998915534457363,0.16850889398155727,1.0,0.0,True
PR_AUC,0.09102280927722006,0.09091228885279797,0.0662201954706987,0.1166967679476666,1.0,0.0,True
