metric,mean,std,ci95_low,ci95_high,min,max
BACC,0.8862554112554112,0.011315357066224023,0.8672483766233766,0.9058441558441559,0.8652597402597402,0.911525974025974
MCC,0.7447795041139265,0.02169075286059733,0.7034659321021193,0.7798115705221614,0.6972030806540789,0.7889877623590701
Precision,0.9501973130596455,0.010800895181166389,0.9340129449838187,0.9667768564171523,0.9333333333333332,0.967391304347826
Recall,0.9034632034632035,0.020770038942317604,0.8668831168831169,0.9360389610389611,0.8668831168831169,0.9383116883116884
Specificity,0.869047619047619,0.031777018607236036,0.8214285714285714,0.9165178571428572,0.8214285714285714,0.9196428571428572
F1,0.9260250942031506,0.008568064980900677,0.9093381514989418,0.9377265729213735,0.9066213921901528,0.9382303839732888
ROC_AUC,0.9487447820037107,0.008240798660527952,0.9348641871521335,0.9595967648423005,0.93471706864564,0.9600533395176252
PR_AUC,0.9782464539797382,0.005551013946755213,0.9691017157288137,0.985424187311913,0.9671459356959196,0.9856903601178304
