seed,threshold,n_train,n_test,BACC,MCC,Precision,Recall,Specificity,F1,ROC_AUC,PR_AUC,BACC@0.5,MCC@0.5,F1@0.5
1000,0.42547231912612915,3213,420,0.8798701298701299,0.7619189608157811,0.9352750809061489,0.9383116883116883,0.8214285714285714,0.9367909238249594,0.9533714053803339,0.9808717074757315,0.882711038961039,0.7632678067475599,0.9365853658536586
1001,0.43682199716567993,3213,420,0.8896103896103895,0.7627700713964738,0.9466666666666667,0.922077922077922,0.8571428571428571,0.9342105263157895,0.9351374072356216,0.9671459356959196,0.890827922077922,0.7595723873673113,0.9322314049586777
1002,0.9633504152297974,3213,420,0.8871753246753247,0.7423020959472908,0.9518900343642611,0.8993506493506493,0.875,0.9248747913188647,0.9427324907235621,0.9727338786470454,0.8705357142857143,0.7389856920047956,0.9300813008130081
1003,0.6698641180992126,3213,420,0.8798701298701299,0.7331461743837426,0.9455782312925171,0.9025974025974026,0.8571428571428571,0.9235880398671097,0.9518784786641928,0.9741736584543772,0.8818993506493507,0.7458216839803328,0.929159802306425
1004,0.8757271766662598,3213,420,0.8916396103896104,0.7492561217325497,0.9551724137931035,0.8993506493506493,0.8839285714285714,0.9264214046822743,0.9478200371057514,0.9758006722158568,0.8745941558441559,0.7371075976313236,0.9278688524590164
1005,0.9702336192131042,3213,420,0.8709415584415585,0.6972030806540789,0.9501779359430605,0.8668831168831169,0.875,0.9066213921901528,0.93471706864564,0.9739958792435679,0.8575487012987013,0.698266635054913,0.9159802306425041
1006,0.6729073524475098,3213,420,0.8758116883116883,0.7339329217489778,0.939799331103679,0.9123376623376623,0.8392857142857143,0.9258649093904449,0.9509073515769945,0.9822626897949868,0.8567370129870129,0.7094950959065814,0.9218241042345277
1007,0.3529806137084961,3213,420,0.8652597402597402,0.7150969419341943,0.9333333333333333,0.9090909090909091,0.8214285714285714,0.9210526315789473,0.9371956168831168,0.9756416964597221,0.8676948051948052,0.709647899563751,0.9169435215946844
1008,0.3457196056842804,3213,420,0.8871753246753247,0.7423020959472908,0.9518900343642611,0.8993506493506493,0.875,0.9248747913188647,0.9554730983302412,0.9849298663866376,0.9034090909090908,0.7654637530525762,0.9292929292929293
1009,0.8040339946746826,3213,420,0.911525974025974,0.7889877623590701,0.9656357388316151,0.9123376623376623,0.9107142857142857,0.9382303839732888,0.9437326066790352,0.9731657959931845,0.9030032467532467,0.7832350785625546,0.9388429752066115
1010,0.9494919776916504,3213,420,0.890827922077922,0.7595723873673113,0.9494949494949495,0.9155844155844156,0.8660714285714286,0.9322314049586777,0.9510812847866419,0.977334592021903,0.8770292207792207,0.7606693760739239,0.9369951534733441
1011,0.3963238596916199,3213,420,0.8810876623376623,0.7579247952858703,0.9379084967320261,0.9318181818181818,0.8303571428571429,0.9348534201954397,0.9600533395176253,0.9856903601178304,0.8867694805194806,0.7610655910537935,0.9344262295081968
1012,0.8882089853286743,3213,420,0.8952922077922079,0.7429713354016114,0.9644128113879004,0.8798701298701299,0.9107142857142857,0.9202037351443124,0.958748840445269,0.9848424505833409,0.8875811688311688,0.7497405817398108,0.9286898839137645
1013,0.9176257848739624,3213,420,0.893262987012987,0.7327598274716335,0.967391304347826,0.8668831168831169,0.9196428571428571,0.9143835616438356,0.9542845547309834,0.9825358427503699,0.8892045454545454,0.7546326140728337,0.9304635761589404
1014,0.9765869975090027,3213,420,0.8944805194805194,0.7515479892630206,0.9583333333333334,0.8961038961038961,0.8928571428571429,0.9261744966442953,0.9540381493506492,0.9825717838556008,0.8664772727272727,0.7416042966363078,0.932258064516129
