seed,threshold,n_train,n_val,n_test,test_pos,test_neg,BACC,BACC@0.5,MCC,MCC@0.5,Precision,Recall,Specificity,F1,F1@0.5,ROC_AUC,PR_AUC
1000,0.28541943430900574,3222,569,421,298,123,0.9200496535166693,0.9207589894690893,0.8218058905348474,0.818337028218232,0.9618055555555556,0.9295302013422819,0.9105691056910569,0.9453924914675768,0.9433962264150944,0.9601680580564194,0.9843330962942648
1001,0.9665277004241943,3222,569,421,298,123,0.8860424510285372,0.8868199923609974,0.7413705514226051,0.7755040780725991,0.9496402877697842,0.8859060402684564,0.8861788617886179,0.9166666666666666,0.9346733668341709,0.9470180607846347,0.9705725827400173
1002,0.16945570707321167,3222,569,421,298,123,0.9054673432640367,0.9028209745184701,0.8016924061759011,0.7880988519304402,0.9488054607508533,0.9328859060402684,0.8780487804878049,0.9407783417935702,0.9351535836177475,0.9512877175751623,0.9731040605166943
1003,0.7257269620895386,3222,569,421,298,123,0.9023026136301632,0.9099825394227097,0.7675551477065873,0.7929103562960723,0.9635036496350365,0.8859060402684564,0.9186991869918699,0.9230769230769231,0.9344827586206896,0.9528428002400829,0.9797962531825073
1004,0.2377922236919403,3222,569,421,298,123,0.878621705680144,0.8793310416325639,0.7258970985037957,0.7237275717965814,0.9458483754512635,0.8791946308724832,0.8780487804878049,0.9113043478260869,0.9090909090909091,0.9290118404539751,0.9687691867207489
1005,0.45641806721687317,3222,569,421,298,123,0.9037894909150435,0.9028209745184701,0.7966350571506482,0.7880988519304402,0.9486301369863014,0.9295302013422819,0.8780487804878049,0.9389830508474576,0.9351535836177475,0.9610956512249687,0.9825725831962356
1006,0.7208097577095032,3222,569,421,298,123,0.9161755879303759,0.9075953511212964,0.7915706790684632,0.791225821222901,0.9742647058823529,0.889261744966443,0.943089430894309,0.9298245614035088,0.9347079037800687,0.9561439406340371,0.9782545837143859
1007,0.9608371257781982,3222,569,421,298,123,0.9049489823757297,0.8915943689638239,0.7790130293870987,0.7777335624797209,0.9605734767025089,0.8993288590604027,0.9105691056910569,0.92894280762565,0.9342327150084317,0.9467179571124571,0.9741208175948292
1008,0.8422457575798035,3222,569,421,298,123,0.903011949582583,0.8994652698204835,0.765382154215159,0.7784304386107092,0.966789667896679,0.8791946308724832,0.926829268292683,0.9209138840070299,0.9315068493150684,0.9408932176570087,0.9638845418652616
1009,0.899061918258667,3222,569,421,298,123,0.9269520379767555,0.9248240301194959,0.8158813381793114,0.8246702058348327,0.9781818181818182,0.9026845637583892,0.9512195121951219,0.9389179755671903,0.9450171821305842,0.9614639602771866,0.9816803315171718
1010,0.18760831654071808,3222,569,421,298,123,0.8817864353140176,0.8903666721230971,0.7599942656813798,0.7577814366109691,0.9324324324324325,0.9261744966442953,0.8373983739837398,0.9292929292929293,0.9243986254295533,0.9528018770120587,0.9788355533641483
1011,0.7125092148780823,3222,569,421,298,123,0.9312762590713155,0.9339226278168822,0.8325859107441312,0.8455768423783179,0.9750889679715302,0.9194630872483222,0.943089430894309,0.9464594127806563,0.952054794520548,0.9746821629290119,0.9898437375087982
1012,0.9825426340103149,3222,569,421,298,123,0.924305669231189,0.9081137120096032,0.8046354495017328,0.8162274240192067,0.9814814814814815,0.889261744966443,0.959349593495935,0.9330985915492958,0.9463087248322147,0.957903639439079,0.9732896544820254
1013,0.730185866355896,3222,569,421,298,123,0.89630054018661,0.8989469089321765,0.7483406841385881,0.7588015365969477,0.9662921348314607,0.8657718120805369,0.926829268292683,0.9132743362831859,0.9192982456140351,0.9425165057019698,0.9738043394391366
1014,0.5770872235298157,3222,569,421,298,123,0.8753342063621978,0.8820456157581711,0.7524771558404474,0.7736483181119304,0.9264214046822743,0.9295302013422819,0.8211382113821138,0.9279731993299832,0.9351081530782029,0.9369373056146668,0.9664610656826511
